question_id,question_text
6223240,"Title: After importing into eclipse using eGit, can't compile and run. What do I do? | Body: After importing a standard .java file into Eclipse using Git, I tried to compile and run the  file. Eclipse gave me this error: 

""Unable to launch: The selection cannot be launched, and there are no recent launches.""


What do I do?
"
14740150,"Title: OSX Dashboard Widget File URI | Body: I'm trying to update a dashboard widget that has stopped working, I think with the upgrade to either Lion or Mountain Lion.

The widget has a drop zone for dropping files onto, which then uploads them to a web service.

However, my ondrop event handler is returning an empty string for the text/uri-l"
2250080,"Title: java.lang.UnsatisfiedLinkError: Method inside dll is not accessible | Body: I am trying to access the function available inside the .dll file. But it give exception like ""Exception in thread ""main"" java.lang.UnsatisfiedLinkError: *.jniGetAudioInputLevel()D"". DLL file is loaded but when I try to access the methods it give an error message.

According to my knowledge:- 


Thi"
15706930,"Title: Installing PyGame onto Mountain Lion OS | Body: Okay, so I've completely given up. 

I've tried about a thousand different walkthroughs to solve my problem, on every website I can find, but I either get stuck and no one knows the answer, or they just don't work.

So has anyone got an answer to installing PyGame onto Mountain Lion that they know 1"
39393520,"Title: How to remove a current page from stack navigation Xamarin Forms | Body: I'm trying so hard to do something but i wasnt able to solve this problem. I have three pages, One is the MainPage, LoginUpPage and SignUpPage, inside of LoginUpPage has a button who navigates to SignUpPage, what i want to do is when I finish my logic navigates to another page CreatedPage, whitch co"
9637100,"Title: how to disable expandablelistview vertical scrolling when webview is scolled horizontally | Body: I have taken a webview as a child in my expandable list. When I scroll the webview horizontally it clashes with vertical scroll of listview. 

I want to smoothly scroll horizontally when swiped left or right.

Any help is appreciated.

Thanks
"
29346030,"Title: Can I Use Insert Snippet to Create Setters and Getters in Visual C++ | Body: This answer suggests creating a Code Snippet to allow the ""Insert Snippet"" menu to contain setters and getters in Visual C#.

I went to check out the answer's link: https://msdn.microsoft.com/en-us/library/ms165392.aspx

But it really doesn't have information about inserting anything more than fixed"
25798350,"Title: UITableView scrollView delegate not called | Body: I have a tableview set inside a UIViewController

@property (strong, nonatomic) IBOutlet UITableView *tableView;


with delegates set in viewDidLoad

self.tableView.delegate = self;
self.tableView.dataSource = self;


The following methods never get called:

- (void)scrollViewDidEndDecelerating:(UIS"
17541960,"Title: Convert markdown to json in R | Body: Here are the steps I would like to execute:


Read a markdown file (see below) into R
Convert the markdown text to JSON
Send the JSON in an API POST call


Eg. markdown text file:

## This is a list

+ one
+ two
+ three

#### Do a thing
```coffee
points &lt;- rnorm(10)
plot(points)
```

#### Do some"
4007320,"Title: Separate quotes from string | Body: The following code keeps giving me this error 


  Parse error: syntax error, unexpected T_VARIABLE in ...


?

   $query_string = 'this is a test... ""this is in quotes"" mmm..chicken burgers... yummm...';
   preg_match_all(""/\"".*\""|[^\s]*/"",  Â­ $query_string, $matches);
   echo ""Matches:"";
   forea"
8023930,"Title: Best way to achieve C break or Python pass in a SQL case expression? | Body: Given a SQL CASE expression with nested CASE expressions, I'm looking for the best way to emulate a C break or Python pass within a nested CASE expression so I can evaluate the rest of the outer WHEN choices.

For example, imagine

select CASE 
         WHEN C1 THEN CASE
                      WHEN C"
12198670,"Title: select option in payment method instead of radion button in magento | Body: This is my methods.phtml file in onepagecheckout in magento,I want the dropdown(select option) button instead of radio button .........so that i could select the payment method to pay the payment.

&lt;?php if (!$methods = $this-&gt;getMethods()) : ?&gt;
  &lt;p&gt;&lt;?php echo $this-&gt;helper('ch"
37493520,"Title: how to remove rows based on some conditions | Body: My data looks like this:

row  ID  YU  DV
 1    1   0   .
 2    1   .   .
 3    1   .   .
 4    1   .   .
 5    1   45  .
 6    1   .   7
 7    1   .   .
 8    1   .   .
 9    1   .   .
 10   1   65  .
 11   1   .   5
 12   1   .   .
 13   1   .   .
 14   1   .   .
 15   2   20  .
 16   2   .   .
 1"
36401290,"Title: Different results between Orange PCA and scikit-learn PCA | Body: I am using scikit-learn PCA to find the principal components of a dataset with about 20000 features and 400+ samples.

However, comparing with Orange3 PCA which should be using scikit-learn PCA, I get different results. I also unchecked the normalization option proposed by Orange3 PCA.

With scikit-"
6625110,"Title: Android CMYK mode | Body: I have a Bitmap in CMYK mode, which doesn't show correctly, and at some point not at all, on Android. Googling didn't return many answers, so I have to ask here how do I handle CMYK mode images?

Thanks

UPDATE

Ok, more info as requested. I have a image that is in the assets, and I construct a Bitm"
13720510,"Title: Can I get my salt from a database and then check the password in the same query? | Body: I've recently added a class which uses unique salts stored in the members table. This was my login script before I used salts:

    $sql = 'SELECT id, username FROM member WHERE username = ? AND pass = ?';

    $result = $this-&gt;DB-&gt;query($sql, array($username, $pass));
    foreach($result as $"
