id,name,description,manufacturer,price
http://www.google.com/base/feeds/snippets/13394537834910060641,qb pos 6.0 pro solution hw/sw,qb pos 6.0 pro solution hw/sw. ships in an unprinted corrugated shipper.,intuit,1474.99
http://www.google.com/base/feeds/snippets/9526578983773698753,adobe premiere pro cs3,multicore intel® processor (adobe® onlocation? cs3 is a windows application that may be used on macintosh using boot camp and windows sold separately) mac os x v.10.4.9 1gb of ram for dv; 2gb of ram for hdv and hd 10gb of available hard-disk space ...,,825.99
http://www.google.com/base/feeds/snippets/18105761375553744131,school zone interactive vocabulary puzzles 1 on track software,vocabulary puzzles 1 helps children recognize pronounce and spell words. engaging activities games and animated rewards make this electronic workbook a great way to learn! system requirements: windows®: microsoft® windows® 9,,9.45
http://www.google.com/base/feeds/snippets/7742313617688572944,chronos soho labels and envelopes,system requirements ? apple macintosh g3 or higher ? mac os x v10.2 or later (v10.3 or later required to use vector clip art) ? 30 mb of available disk space (1.2gb for full clip art collection) ? cd-rom drive ? inkjet or laser printer (optional). ...,,29.99
http://www.google.com/base/feeds/snippets/7587316869277129977,phase one capture one pro,capture one db & pro: phase one p 45 / p 30 / p 25 / p 20 / h 25 / h 20 / h 10 / h 101 / h 5 / lightphase capture one pro & le: canon 1ds mkii / 1d mkii / 1d mkii n /1ds / 1d / 5d / 20d / 10d / 300d / 350d / d60 / d30 / pro 1 / g6 / g5 / g3 / g2 ...,,415.99
http://www.google.com/base/feeds/snippets/17771223071817478541,mcafee inc total protection 2007 3-user,mcafee® total protection peace of mind for your entire family today the variety of threats to your pc fi les and online identity is bewildering.viruses spyware hackers spam and emailscams online predators identitythie,,92.51
http://www.google.com/base/feeds/snippets/5935343405881149008,alsoft diskwarrior for intel,diskwarrior supports any mac os standard (hfs) or mac os extended (hfs plus) disk including raid volumes journaled disks case-sensitive disks filevaults and ipods. diskwarrior requires a g3 mac or better (such as a g4 g5 or any intel processor) ...,,89.99
http://www.google.com/base/feeds/snippets/5527718669808727624,microsoft virtual pc 7.0 windows xp home,to use microsoft virtual pc for mac version 7 users need: 700 mhz native* g3 g4 or g5 processor mac os x version 10.2.8-10.3; mac os x version 10.3 is required for the power mac g5 cd-rom drive 512 mb of ram 3 gb of available hard-disk space 1024 ...,,205.99
http://www.google.com/base/feeds/snippets/4233168214815079628,aspyr lego star wars ii,system requirements mac os x v10.4 or later 1.6ghz powerpc or intel processor 512mb ram 64mb vram 3gb free hard-disk space mouse and keyboard dvd drive,,44.95
http://www.google.com/base/feeds/snippets/4433860407786915136,aspyr call of duty deluxe,system requirements: operating system: mac os x 10.2.8 or later cpu processor: powerpc g4 or later cpu speed: 867mhz or faster memory: 256 mb or higher hard disk space: 2.4gb free disk space video card (ati): radeon 7500 or better video card (nvidia ...,,53.99
http://www.google.com/base/feeds/snippets/1949229857064458441,allume morpheus photo animation suite,mac os x 10.3.9 (tiger) or higher 400mhz g4 or better or any intel macintosh 256mb of ram,,41.99
http://www.google.com/base/feeds/snippets/17334196774609191985,mike garson andrew lloyd webber andrew lloyd webber favorites - featuring sunset boulevard,1. as if we never said goodbye 2. too much in love to care 3. with one look 4. the perfect year 5. unexpected song 6. any dream will do 7. close every door to me 8. love changes everything 9. i don't know how to love him 10. don't cry for me ...,,23.59
http://www.google.com/base/feeds/snippets/2460101921085498175,omni web 5.0,sure you can use a standard web browser with standard features. but you didn't choose a standard software experience - you chose the mac. why not try a browser built just for discriminating people with fabulous taste like yourself? omniweb5 ...,,23.99
http://www.google.com/base/feeds/snippets/17059526546034030562,sos aggregation company calculation skills v1 add & sub - basic - core learning,this four volume series builds fundamental calculation competence with four core arithmetic operations. two volumes provide calculation practice with addition and subtraction at a basic and advanced level; the other two volumes provide calculation ...,,15.91
http://www.google.com/base/feeds/snippets/65639973300118271,apple .mac 4.0 family pack (new or renewal),here's what you get with a .mac membership! easily publish your web site blog or podcast: using the new iweb in ilife '06 you can easily create your own personal web site and publish it to your .mac account with one click. key features create ...,,145.99
http://www.google.com/base/feeds/snippets/17175991674191849246,phantom efx reel deal casino shuffle master edition,reel deal casino shuffle master ed. is packed with an incredible 25 casino games featuring many of shuffle master's games that are sweeping the casino industry including let it ride crazy 4 poker triple shot and oklahoma 3-card. easily,,17.24
http://www.google.com/base/feeds/snippets/16981277851522177810,aspyr media inc sims 2 glamour life stuff pack,your sims can now indulge in a glamorous life with this collection of luxurious furniture fashionable clothing and extravagant décor items. create lavish homes furnished with the finest modern bedroom living room and dining room sets. turn heads ...,,23.44
http://www.google.com/base/feeds/snippets/908293428104495266,roxio toast 8 titanium cdr software,requirements: macintosh computer with a powerpc g4 powerpc g5 or intel processor cd dvd or blu-ray disc recordable drive mac os x v10.4.8 or higher 250 mb of free disk space to install up to 15 gb of temporary free disk space during usage ...,,82.99
http://www.google.com/base/feeds/snippets/17033785854482020785,individual software inc small business advantage deluxe,15 essential office marketing tools and business resources you'll need to grow your business. launch e-mail campaigns design brochures write your employee handbook and more. system requirements: pentium pc or higher,,16.9
http://www.google.com/base/feeds/snippets/17651580132908652894,sos aggregation company corefx three level-core learning ltd.,a powerful graphics software program with selection of skill level to suit users of all ages;painting and drawing tools use realistic art effects and the program includes clipart photo-editing and animation tools system requirements: windows ba,,51.09
http://www.google.com/base/feeds/snippets/17836395815164917371,topics entertainment instant immersion hawaiian audio,holiday in honolulu? meetings on maui? from kaua'i to kona now you can join the conversation with instant immersion hawaiian the dynamic audio language learning system on 8 compact discs.,,12.05
http://www.google.com/base/feeds/snippets/17523098183862840727,sos aggregation company brain builder - core learning,,,15.91
http://www.google.com/base/feeds/snippets/17479437813216357894,ca antivirus 2007,ca antivirus 2007 is an award-winning antivirus solution that provides complete protection detection and eleimnation of thousands of computer viruses worms and trogan horse programs. system requirements: 10 mb hard disk space,,32.28
http://www.google.com/base/feeds/snippets/17762641182538089473,encore inc hoyle solitaire,hoyle solitaire gives you 50 different variations of solitaire and built-in tutorials to teach you the rules from the official name in gaming hoyle. system requirements: windows® 98/me/2000/xp pentium ® processor or faster 40 mb har,,7.83
http://www.google.com/base/feeds/snippets/5558998293398547766,print master platinum v17,overview if youve got a passion for creative self-expression youll find endless inspiration in this sophisticated easy-to-use program. enjoy all of the great features you expect from printmaster plus brilliant new upgrades that make personal ...,,29.9
http://www.google.com/base/feeds/snippets/17546591632033422235,delorme mapping street atlas usa 2007 plus dvd xx,import edit and display your vital contactmanager data get over 140 million us and canadianresidential and business phone listings free print large-format wall maps all the features and capabilities found instandard version,,53.37
http://www.google.com/base/feeds/snippets/15528939772983751628,topics entertainment 80796 - topics math success 2007 deluxe for windows - educational software - pc,topics entertainment 80796 : math success deluxe 2007 is the leading-edge suite of software tools for the personal computer. ideal for young students at all learning levels math success deluxe 2007 has educator-endorsed award-winning lessons that ...,,33.97
